,rating,percentage,totals,imdb_id,title
5,5.0,4.8,19091.0,tt3183660,Fantastic Beasts and Where to Find Them
6,4.0,1.9,7480.0,tt3183660,Fantastic Beasts and Where to Find Them
7,3.0,0.9,3453.0,tt3183660,Fantastic Beasts and Where to Find Them
8,2.0,0.5,1942.0,tt3183660,Fantastic Beasts and Where to Find Them
9,1.0,0.8,3146.0,tt3183660,Fantastic Beasts and Where to Find Them
1,9.0,10.1,55511.0,tt0478970,Ant-Man
2,8.0,29.3,161607.0,tt0478970,Ant-Man
3,7.0,32.5,179066.0,tt0478970,Ant-Man
4,6.0,13.0,71894.0,tt0478970,Ant-Man
5,5.0,4.2,23032.0,tt0478970,Ant-Man
6,4.0,1.4,7855.0,tt0478970,Ant-Man
7,3.0,0.7,3681.0,tt0478970,Ant-Man
8,2.0,0.4,2224.0,tt0478970,Ant-Man
9,1.0,0.8,4460.0,tt0478970,Ant-Man
1,9.0,20.7,115990.0,tt3501632,Thor: Ragnarok
2,8.0,31.8,178452.0,tt3501632,Thor: Ragnarok
3,7.0,19.2,107616.0,tt3501632,Thor: Ragnarok
4,6.0,6.8,38100.0,tt3501632,Thor: Ragnarok
5,5.0,2.3,13171.0,tt3501632,Thor: Ragnarok
6,4.0,1.0,5560.0,tt3501632,Thor: Ragnarok
7,3.0,0.6,3121.0,tt3501632,Thor: Ragnarok
8,2.0,0.4,2174.0,tt3501632,Thor: Ragnarok
9,1.0,1.1,6097.0,tt3501632,Thor: Ragnarok
1,9.0,10.3,55056.0,tt0295297,Harry Potter and the Chamber of Secrets
2,8.0,25.6,136503.0,tt0295297,Harry Potter and the Chamber of Secrets
3,7.0,29.9,159497.0,tt0295297,Harry Potter and the Chamber of Secrets
4,6.0,11.9,63428.0,tt0295297,Harry Potter and the Chamber of Secrets
5,5.0,4.0,21253.0,tt0295297,Harry Potter and the Chamber of Secrets
6,4.0,1.4,7643.0,tt0295297,Harry Potter and the Chamber of Secrets
7,3.0,0.7,3691.0,tt0295297,Harry Potter and the Chamber of Secrets
8,2.0,0.4,2301.0,tt0295297,Harry Potter and the Chamber of Secrets
9,1.0,1.1,5635.0,tt0295297,Harry Potter and the Chamber of Secrets
